date_str,sp500,djia,date_ex1,date_ex2,date_ex3
4/4/2018,2644.69,24264.3,April 04 2018,"Wednesday, 2018-04-04",4-Apr-18
4/5/2018,2662.84,24505.22,April 05 2018,"Thursday, 2018-04-05",5-Apr-18
4/6/2018,2604.47,23932.76,April 06 2018,"Friday, 2018-04-06",6-Apr-18
4/9/2018,2613.16,23979.1,April 09 2018,"Monday, 2018-04-09",9-Apr-18
4/10/2018,2656.87,24408,April 10 2018,"Tuesday, 2018-04-10",10-Apr-18
4/11/2018,2642.19,24189.45,April 11 2018,"Wednesday, 2018-04-11",11-Apr-18
4/12/2018,2663.99,24483.05,April 12 2018,"Thursday, 2018-04-12",12-Apr-18
4/13/2018,2656.3,24360.14,April 13 2018,"Friday, 2018-04-13",13-Apr-18
4/16/2018,2677.84,24573.04,April 16 2018,"Monday, 2018-04-16",16-Apr-18
4/17/2018,2706.39,24786.63,April 17 2018,"Tuesday, 2018-04-17",17-Apr-18
4/18/2018,2708.64,24748.07,April 18 2018,"Wednesday, 2018-04-18",18-Apr-18
4/19/2018,2693.13,24664.89,April 19 2018,"Thursday, 2018-04-19",19-Apr-18
4/20/2018,2670.14,24462.94,April 20 2018,"Friday, 2018-04-20",20-Apr-18
4/23/2018,2670.29,24448.69,April 23 2018,"Monday, 2018-04-23",23-Apr-18
4/24/2018,2634.56,24024.13,April 24 2018,"Tuesday, 2018-04-24",24-Apr-18
4/25/2018,2639.4,24083.83,April 25 2018,"Wednesday, 2018-04-25",25-Apr-18
4/26/2018,2666.94,24322.34,April 26 2018,"Thursday, 2018-04-26",26-Apr-18
4/27/2018,2669.91,24311.19,April 27 2018,"Friday, 2018-04-27",27-Apr-18
4/30/2018,2648.05,24163.15,April 30 2018,"Monday, 2018-04-30",30-Apr-18
5/1/2018,2654.8,24099.05,May 01 2018,"Tuesday, 2018-05-01",1-May-18
5/2/2018,2635.67,23924.98,May 02 2018,"Wednesday, 2018-05-02",2-May-18
5/3/2018,2629.73,23930.15,May 03 2018,"Thursday, 2018-05-03",3-May-18
5/4/2018,2663.42,24262.51,May 04 2018,"Friday, 2018-05-04",4-May-18
5/7/2018,2672.63,24357.32,May 07 2018,"Monday, 2018-05-07",7-May-18
5/8/2018,2671.92,24360.21,May 08 2018,"Tuesday, 2018-05-08",8-May-18
5/9/2018,2697.79,24542.54,May 09 2018,"Wednesday, 2018-05-09",9-May-18
5/10/2018,2723.07,24739.53,May 10 2018,"Thursday, 2018-05-10",10-May-18
5/11/2018,2727.72,24831.17,May 11 2018,"Friday, 2018-05-11",11-May-18
5/14/2018,2730.13,24899.41,May 14 2018,"Monday, 2018-05-14",14-May-18
5/15/2018,2711.45,24706.41,May 15 2018,"Tuesday, 2018-05-15",15-May-18
5/16/2018,2722.46,24768.93,May 16 2018,"Wednesday, 2018-05-16",16-May-18
5/17/2018,2720.13,24713.98,May 17 2018,"Thursday, 2018-05-17",17-May-18
5/18/2018,2712.97,24715.09,May 18 2018,"Friday, 2018-05-18",18-May-18
5/21/2018,2733.01,25013.29,May 21 2018,"Monday, 2018-05-21",21-May-18
5/22/2018,2724.44,24834.41,May 22 2018,"Tuesday, 2018-05-22",22-May-18
5/23/2018,2733.29,24886.81,May 23 2018,"Wednesday, 2018-05-23",23-May-18
5/24/2018,2727.76,24811.76,May 24 2018,"Thursday, 2018-05-24",24-May-18
5/25/2018,2721.33,24753.09,May 25 2018,"Friday, 2018-05-25",25-May-18
5/28/2018,,,May 28 2018,"Monday, 2018-05-28",28-May-18
5/29/2018,2689.86,24361.45,May 29 2018,"Tuesday, 2018-05-29",29-May-18
5/30/2018,2724.01,24667.78,May 30 2018,"Wednesday, 2018-05-30",30-May-18
5/31/2018,2705.27,24415.84,May 31 2018,"Thursday, 2018-05-31",31-May-18
6/1/2018,2734.62,24635.21,June 01 2018,"Friday, 2018-06-01",1-Jun-18
6/4/2018,2746.87,24813.69,June 04 2018,"Monday, 2018-06-04",4-Jun-18
6/5/2018,2748.8,24799.98,June 05 2018,"Tuesday, 2018-06-05",5-Jun-18
6/6/2018,2772.35,25146.39,June 06 2018,"Wednesday, 2018-06-06",6-Jun-18
6/7/2018,2770.37,25241.41,June 07 2018,"Thursday, 2018-06-07",7-Jun-18
6/8/2018,2779.03,25316.53,June 08 2018,"Friday, 2018-06-08",8-Jun-18
6/11/2018,2782,25322.31,June 11 2018,"Monday, 2018-06-11",11-Jun-18
6/12/2018,2786.85,25320.73,June 12 2018,"Tuesday, 2018-06-12",12-Jun-18
6/13/2018,2775.63,25201.2,June 13 2018,"Wednesday, 2018-06-13",13-Jun-18
6/14/2018,2782.49,25175.31,June 14 2018,"Thursday, 2018-06-14",14-Jun-18
6/15/2018,2779.66,25090.48,June 15 2018,"Friday, 2018-06-15",15-Jun-18
6/18/2018,2773.75,24987.47,June 18 2018,"Monday, 2018-06-18",18-Jun-18
6/19/2018,2762.59,24700.21,June 19 2018,"Tuesday, 2018-06-19",19-Jun-18
6/20/2018,2767.32,24657.8,June 20 2018,"Wednesday, 2018-06-20",20-Jun-18
6/21/2018,2749.76,24461.7,June 21 2018,"Thursday, 2018-06-21",21-Jun-18
6/22/2018,2754.88,24580.89,June 22 2018,"Friday, 2018-06-22",22-Jun-18
6/25/2018,2717.07,24252.8,June 25 2018,"Monday, 2018-06-25",25-Jun-18
6/26/2018,2723.06,24283.11,June 26 2018,"Tuesday, 2018-06-26",26-Jun-18
6/27/2018,2699.63,24117.59,June 27 2018,"Wednesday, 2018-06-27",27-Jun-18
6/28/2018,2716.31,24216.05,June 28 2018,"Thursday, 2018-06-28",28-Jun-18
6/29/2018,2718.37,24271.41,June 29 2018,"Friday, 2018-06-29",29-Jun-18
7/2/2018,2726.71,24307.18,July 02 2018,"Monday, 2018-07-02",2-Jul-18
7/3/2018,2713.22,24174.82,July 03 2018,"Tuesday, 2018-07-03",3-Jul-18
7/4/2018,,,July 04 2018,"Wednesday, 2018-07-04",4-Jul-18
7/5/2018,2736.61,24356.74,July 05 2018,"Thursday, 2018-07-05",5-Jul-18
7/6/2018,2759.82,24456.48,July 06 2018,"Friday, 2018-07-06",6-Jul-18
7/9/2018,2784.17,24776.59,July 09 2018,"Monday, 2018-07-09",9-Jul-18
7/10/2018,2793.84,24919.66,July 10 2018,"Tuesday, 2018-07-10",10-Jul-18
7/11/2018,2774.02,24700.45,July 11 2018,"Wednesday, 2018-07-11",11-Jul-18
7/12/2018,2798.29,24924.89,July 12 2018,"Thursday, 2018-07-12",12-Jul-18
7/13/2018,2801.31,25019.41,July 13 2018,"Friday, 2018-07-13",13-Jul-18
7/16/2018,2798.43,25064.36,July 16 2018,"Monday, 2018-07-16",16-Jul-18
7/17/2018,2809.55,25119.89,July 17 2018,"Tuesday, 2018-07-17",17-Jul-18
7/18/2018,2815.62,25199.29,July 18 2018,"Wednesday, 2018-07-18",18-Jul-18
7/19/2018,2804.49,25064.5,July 19 2018,"Thursday, 2018-07-19",19-Jul-18
7/20/2018,2801.83,25058.12,July 20 2018,"Friday, 2018-07-20",20-Jul-18
7/23/2018,2806.98,25044.29,July 23 2018,"Monday, 2018-07-23",23-Jul-18
7/24/2018,2820.4,25241.94,July 24 2018,"Tuesday, 2018-07-24",24-Jul-18
7/25/2018,2846.07,25414.1,July 25 2018,"Wednesday, 2018-07-25",25-Jul-18
7/26/2018,2837.44,25527.07,July 26 2018,"Thursday, 2018-07-26",26-Jul-18
7/27/2018,2818.82,25451.06,July 27 2018,"Friday, 2018-07-27",27-Jul-18
7/30/2018,2802.6,25306.83,July 30 2018,"Monday, 2018-07-30",30-Jul-18
7/31/2018,2816.29,25415.19,July 31 2018,"Tuesday, 2018-07-31",31-Jul-18
8/1/2018,2813.36,25333.82,August 01 2018,"Wednesday, 2018-08-01",1-Aug-18
8/2/2018,2827.22,25326.16,August 02 2018,"Thursday, 2018-08-02",2-Aug-18
8/3/2018,2840.35,25462.58,August 03 2018,"Friday, 2018-08-03",3-Aug-18
8/6/2018,2850.4,25502.18,August 06 2018,"Monday, 2018-08-06",6-Aug-18
8/7/2018,2858.45,25628.91,August 07 2018,"Tuesday, 2018-08-07",7-Aug-18
8/8/2018,2857.7,25583.75,August 08 2018,"Wednesday, 2018-08-08",8-Aug-18
8/9/2018,2853.58,25509.23,August 09 2018,"Thursday, 2018-08-09",9-Aug-18
8/10/2018,2833.28,25313.14,August 10 2018,"Friday, 2018-08-10",10-Aug-18
8/13/2018,2821.93,25187.7,August 13 2018,"Monday, 2018-08-13",13-Aug-18
8/14/2018,2839.96,25299.92,August 14 2018,"Tuesday, 2018-08-14",14-Aug-18
8/15/2018,2818.37,25162.41,August 15 2018,"Wednesday, 2018-08-15",15-Aug-18
8/16/2018,2840.69,25558.73,August 16 2018,"Thursday, 2018-08-16",16-Aug-18
8/17/2018,2850.13,25669.32,August 17 2018,"Friday, 2018-08-17",17-Aug-18
8/20/2018,2857.05,25758.69,August 20 2018,"Monday, 2018-08-20",20-Aug-18
8/21/2018,2862.96,25822.29,August 21 2018,"Tuesday, 2018-08-21",21-Aug-18
8/22/2018,2861.82,25733.6,August 22 2018,"Wednesday, 2018-08-22",22-Aug-18
8/23/2018,2856.98,25656.98,August 23 2018,"Thursday, 2018-08-23",23-Aug-18
8/24/2018,2874.69,25790.35,August 24 2018,"Friday, 2018-08-24",24-Aug-18
8/27/2018,2896.74,26049.64,August 27 2018,"Monday, 2018-08-27",27-Aug-18
8/28/2018,2897.52,26064.02,August 28 2018,"Tuesday, 2018-08-28",28-Aug-18
8/29/2018,2914.04,26124.57,August 29 2018,"Wednesday, 2018-08-29",29-Aug-18
8/30/2018,2901.13,25986.92,August 30 2018,"Thursday, 2018-08-30",30-Aug-18
8/31/2018,2901.52,25964.82,August 31 2018,"Friday, 2018-08-31",31-Aug-18
9/3/2018,,,September 03 2018,"Monday, 2018-09-03",3-Sep-18
9/4/2018,2896.72,25952.48,September 04 2018,"Tuesday, 2018-09-04",4-Sep-18
9/5/2018,2888.6,25974.99,September 05 2018,"Wednesday, 2018-09-05",5-Sep-18
9/6/2018,2878.05,25995.87,September 06 2018,"Thursday, 2018-09-06",6-Sep-18
9/7/2018,2871.68,25916.54,September 07 2018,"Friday, 2018-09-07",7-Sep-18
9/10/2018,2877.13,25857.07,September 10 2018,"Monday, 2018-09-10",10-Sep-18
9/11/2018,2887.89,25971.06,September 11 2018,"Tuesday, 2018-09-11",11-Sep-18
9/12/2018,2888.92,25998.92,September 12 2018,"Wednesday, 2018-09-12",12-Sep-18
9/13/2018,2904.18,26145.99,September 13 2018,"Thursday, 2018-09-13",13-Sep-18
9/14/2018,2904.98,26154.67,September 14 2018,"Friday, 2018-09-14",14-Sep-18
9/17/2018,2888.8,26062.12,September 17 2018,"Monday, 2018-09-17",17-Sep-18
9/18/2018,2904.31,26246.96,September 18 2018,"Tuesday, 2018-09-18",18-Sep-18
9/19/2018,2907.95,26405.76,September 19 2018,"Wednesday, 2018-09-19",19-Sep-18
9/20/2018,2930.75,26656.98,September 20 2018,"Thursday, 2018-09-20",20-Sep-18
9/21/2018,2929.67,26743.5,September 21 2018,"Friday, 2018-09-21",21-Sep-18
9/24/2018,2919.37,26562.05,September 24 2018,"Monday, 2018-09-24",24-Sep-18
9/25/2018,2915.56,26492.21,September 25 2018,"Tuesday, 2018-09-25",25-Sep-18
9/26/2018,2905.97,26385.28,September 26 2018,"Wednesday, 2018-09-26",26-Sep-18
9/27/2018,2914,26439.93,September 27 2018,"Thursday, 2018-09-27",27-Sep-18
9/28/2018,2913.98,26458.31,September 28 2018,"Friday, 2018-09-28",28-Sep-18
10/1/2018,2924.59,26651.21,October 01 2018,"Monday, 2018-10-01",1-Oct-18
10/2/2018,2923.43,26773.94,October 02 2018,"Tuesday, 2018-10-02",2-Oct-18
10/3/2018,2925.51,26828.39,October 03 2018,"Wednesday, 2018-10-03",3-Oct-18
10/4/2018,2901.61,26627.48,October 04 2018,"Thursday, 2018-10-04",4-Oct-18
10/5/2018,2885.57,26447.05,October 05 2018,"Friday, 2018-10-05",5-Oct-18
10/8/2018,2884.43,26486.78,October 08 2018,"Monday, 2018-10-08",8-Oct-18
10/9/2018,2880.34,26430.57,October 09 2018,"Tuesday, 2018-10-09",9-Oct-18
10/10/2018,2785.68,25598.74,October 10 2018,"Wednesday, 2018-10-10",10-Oct-18
10/11/2018,2728.37,25052.83,October 11 2018,"Thursday, 2018-10-11",11-Oct-18
10/12/2018,2767.13,25339.99,October 12 2018,"Friday, 2018-10-12",12-Oct-18
10/15/2018,2750.79,25250.55,October 15 2018,"Monday, 2018-10-15",15-Oct-18
10/16/2018,2809.92,25798.42,October 16 2018,"Tuesday, 2018-10-16",16-Oct-18
10/17/2018,2809.21,25706.68,October 17 2018,"Wednesday, 2018-10-17",17-Oct-18
10/18/2018,2768.78,25379.45,October 18 2018,"Thursday, 2018-10-18",18-Oct-18
10/19/2018,2767.78,25444.34,October 19 2018,"Friday, 2018-10-19",19-Oct-18
10/22/2018,2755.88,25317.41,October 22 2018,"Monday, 2018-10-22",22-Oct-18
10/23/2018,2740.69,25191.43,October 23 2018,"Tuesday, 2018-10-23",23-Oct-18
10/24/2018,2656.1,24583.42,October 24 2018,"Wednesday, 2018-10-24",24-Oct-18
10/25/2018,2705.57,24984.55,October 25 2018,"Thursday, 2018-10-25",25-Oct-18
10/26/2018,2658.69,24688.31,October 26 2018,"Friday, 2018-10-26",26-Oct-18
10/29/2018,2641.25,24442.92,October 29 2018,"Monday, 2018-10-29",29-Oct-18
10/30/2018,2682.63,24874.64,October 30 2018,"Tuesday, 2018-10-30",30-Oct-18
10/31/2018,2711.74,25115.76,October 31 2018,"Wednesday, 2018-10-31",31-Oct-18
11/1/2018,2740.37,25380.74,November 01 2018,"Thursday, 2018-11-01",1-Nov-18
11/2/2018,2723.06,25270.83,November 02 2018,"Friday, 2018-11-02",2-Nov-18
11/5/2018,2738.31,25461.7,November 05 2018,"Monday, 2018-11-05",5-Nov-18
11/6/2018,2755.45,25635.01,November 06 2018,"Tuesday, 2018-11-06",6-Nov-18
11/7/2018,2813.89,26180.3,November 07 2018,"Wednesday, 2018-11-07",7-Nov-18
11/8/2018,2806.83,26191.22,November 08 2018,"Thursday, 2018-11-08",8-Nov-18
11/9/2018,2781.01,25989.3,November 09 2018,"Friday, 2018-11-09",9-Nov-18
11/12/2018,2726.22,25387.18,November 12 2018,"Monday, 2018-11-12",12-Nov-18
11/13/2018,2722.18,25286.49,November 13 2018,"Tuesday, 2018-11-13",13-Nov-18
11/14/2018,2701.58,25080.5,November 14 2018,"Wednesday, 2018-11-14",14-Nov-18
11/15/2018,2730.2,25289.27,November 15 2018,"Thursday, 2018-11-15",15-Nov-18
11/16/2018,2736.27,25413.22,November 16 2018,"Friday, 2018-11-16",16-Nov-18
11/19/2018,2690.73,25017.44,November 19 2018,"Monday, 2018-11-19",19-Nov-18
11/20/2018,2641.89,24465.64,November 20 2018,"Tuesday, 2018-11-20",20-Nov-18
11/21/2018,2649.93,24464.69,November 21 2018,"Wednesday, 2018-11-21",21-Nov-18
11/22/2018,,,November 22 2018,"Thursday, 2018-11-22",22-Nov-18
11/23/2018,2632.56,24285.95,November 23 2018,"Friday, 2018-11-23",23-Nov-18
11/26/2018,2673.45,24640.24,November 26 2018,"Monday, 2018-11-26",26-Nov-18
11/27/2018,2682.17,24748.73,November 27 2018,"Tuesday, 2018-11-27",27-Nov-18
11/28/2018,2743.79,25366.43,November 28 2018,"Wednesday, 2018-11-28",28-Nov-18
11/29/2018,2737.76,25338.84,November 29 2018,"Thursday, 2018-11-29",29-Nov-18
11/30/2018,2760.17,25538.46,November 30 2018,"Friday, 2018-11-30",30-Nov-18
12/3/2018,2790.37,25826.43,December 03 2018,"Monday, 2018-12-03",3-Dec-18
12/4/2018,2700.06,25027.07,December 04 2018,"Tuesday, 2018-12-04",4-Dec-18
12/5/2018,,,December 05 2018,"Wednesday, 2018-12-05",5-Dec-18
12/6/2018,2695.95,24947.67,December 06 2018,"Thursday, 2018-12-06",6-Dec-18
12/7/2018,2633.08,24388.95,December 07 2018,"Friday, 2018-12-07",7-Dec-18
12/10/2018,2637.72,24423.26,December 10 2018,"Monday, 2018-12-10",10-Dec-18
12/11/2018,2636.78,24370.24,December 11 2018,"Tuesday, 2018-12-11",11-Dec-18
12/12/2018,2651.07,24527.27,December 12 2018,"Wednesday, 2018-12-12",12-Dec-18
12/13/2018,2650.54,24597.38,December 13 2018,"Thursday, 2018-12-13",13-Dec-18
12/14/2018,2599.95,24100.51,December 14 2018,"Friday, 2018-12-14",14-Dec-18
12/17/2018,2545.94,23592.98,December 17 2018,"Monday, 2018-12-17",17-Dec-18
12/18/2018,2546.16,23675.64,December 18 2018,"Tuesday, 2018-12-18",18-Dec-18
12/19/2018,2506.96,23323.66,December 19 2018,"Wednesday, 2018-12-19",19-Dec-18
12/20/2018,2467.42,22859.6,December 20 2018,"Thursday, 2018-12-20",20-Dec-18
12/21/2018,2416.62,22445.37,December 21 2018,"Friday, 2018-12-21",21-Dec-18
12/24/2018,2351.1,21792.2,December 24 2018,"Monday, 2018-12-24",24-Dec-18
12/25/2018,,,December 25 2018,"Tuesday, 2018-12-25",25-Dec-18
12/26/2018,2467.7,22878.45,December 26 2018,"Wednesday, 2018-12-26",26-Dec-18
12/27/2018,2488.83,23138.82,December 27 2018,"Thursday, 2018-12-27",27-Dec-18
12/28/2018,2485.74,23062.4,December 28 2018,"Friday, 2018-12-28",28-Dec-18
12/31/2018,2506.85,23327.46,December 31 2018,"Monday, 2018-12-31",31-Dec-18
1/1/2019,,,January 01 2019,"Tuesday, 2019-01-01",1-Jan-19
1/2/2019,2510.03,23346.24,January 02 2019,"Wednesday, 2019-01-02",2-Jan-19
1/3/2019,2447.89,22686.22,January 03 2019,"Thursday, 2019-01-03",3-Jan-19
1/4/2019,2531.94,23433.16,January 04 2019,"Friday, 2019-01-04",4-Jan-19
1/7/2019,2549.69,23531.35,January 07 2019,"Monday, 2019-01-07",7-Jan-19
1/8/2019,2574.41,23787.45,January 08 2019,"Tuesday, 2019-01-08",8-Jan-19
1/9/2019,2584.96,23879.12,January 09 2019,"Wednesday, 2019-01-09",9-Jan-19
1/10/2019,2596.64,24001.92,January 10 2019,"Thursday, 2019-01-10",10-Jan-19
1/11/2019,2596.26,23995.95,January 11 2019,"Friday, 2019-01-11",11-Jan-19
1/14/2019,2582.61,23909.84,January 14 2019,"Monday, 2019-01-14",14-Jan-19
1/15/2019,2610.3,24065.59,January 15 2019,"Tuesday, 2019-01-15",15-Jan-19
1/16/2019,2616.1,24207.16,January 16 2019,"Wednesday, 2019-01-16",16-Jan-19
1/17/2019,2635.96,24370.1,January 17 2019,"Thursday, 2019-01-17",17-Jan-19
1/18/2019,2670.71,24706.35,January 18 2019,"Friday, 2019-01-18",18-Jan-19
1/21/2019,,,January 21 2019,"Monday, 2019-01-21",21-Jan-19
1/22/2019,2632.9,24404.48,January 22 2019,"Tuesday, 2019-01-22",22-Jan-19
1/23/2019,2638.7,24575.62,January 23 2019,"Wednesday, 2019-01-23",23-Jan-19
1/24/2019,2642.33,24553.24,January 24 2019,"Thursday, 2019-01-24",24-Jan-19
1/25/2019,2664.76,24737.2,January 25 2019,"Friday, 2019-01-25",25-Jan-19
1/28/2019,2643.85,24528.22,January 28 2019,"Monday, 2019-01-28",28-Jan-19
1/29/2019,2640,24579.96,January 29 2019,"Tuesday, 2019-01-29",29-Jan-19
1/30/2019,2681.05,25014.86,January 30 2019,"Wednesday, 2019-01-30",30-Jan-19
1/31/2019,2704.1,24999.67,January 31 2019,"Thursday, 2019-01-31",31-Jan-19
2/1/2019,2706.53,25063.89,February 01 2019,"Friday, 2019-02-01",1-Feb-19
2/4/2019,2724.87,25239.37,February 04 2019,"Monday, 2019-02-04",4-Feb-19
2/5/2019,2737.7,25411.52,February 05 2019,"Tuesday, 2019-02-05",5-Feb-19
2/6/2019,2731.61,25390.3,February 06 2019,"Wednesday, 2019-02-06",6-Feb-19
2/7/2019,2706.05,25169.53,February 07 2019,"Thursday, 2019-02-07",7-Feb-19
2/8/2019,2707.88,25106.33,February 08 2019,"Friday, 2019-02-08",8-Feb-19
2/11/2019,2709.8,25053.11,February 11 2019,"Monday, 2019-02-11",11-Feb-19
2/12/2019,2744.73,25425.76,February 12 2019,"Tuesday, 2019-02-12",12-Feb-19
2/13/2019,2753.03,25543.27,February 13 2019,"Wednesday, 2019-02-13",13-Feb-19
2/14/2019,2745.73,25439.39,February 14 2019,"Thursday, 2019-02-14",14-Feb-19
2/15/2019,2775.6,25883.25,February 15 2019,"Friday, 2019-02-15",15-Feb-19
2/18/2019,,,February 18 2019,"Monday, 2019-02-18",18-Feb-19
2/19/2019,2779.76,25891.32,February 19 2019,"Tuesday, 2019-02-19",19-Feb-19
2/20/2019,2784.7,25954.44,February 20 2019,"Wednesday, 2019-02-20",20-Feb-19
2/21/2019,2774.88,25850.63,February 21 2019,"Thursday, 2019-02-21",21-Feb-19
2/22/2019,2792.67,26031.81,February 22 2019,"Friday, 2019-02-22",22-Feb-19
2/25/2019,2796.11,26091.95,February 25 2019,"Monday, 2019-02-25",25-Feb-19
2/26/2019,2793.9,26057.98,February 26 2019,"Tuesday, 2019-02-26",26-Feb-19
2/27/2019,2792.38,25985.16,February 27 2019,"Wednesday, 2019-02-27",27-Feb-19
2/28/2019,2784.49,25916,February 28 2019,"Thursday, 2019-02-28",28-Feb-19
3/1/2019,2803.69,26026.32,March 01 2019,"Friday, 2019-03-01",1-Mar-19
3/4/2019,2792.81,25819.65,March 04 2019,"Monday, 2019-03-04",4-Mar-19
3/5/2019,2789.65,25806.63,March 05 2019,"Tuesday, 2019-03-05",5-Mar-19
3/6/2019,2771.45,25673.46,March 06 2019,"Wednesday, 2019-03-06",6-Mar-19
3/7/2019,2748.93,25473.23,March 07 2019,"Thursday, 2019-03-07",7-Mar-19
3/8/2019,2743.07,25450.24,March 08 2019,"Friday, 2019-03-08",8-Mar-19
3/11/2019,2783.3,25650.88,March 11 2019,"Monday, 2019-03-11",11-Mar-19
3/12/2019,2791.52,25554.66,March 12 2019,"Tuesday, 2019-03-12",12-Mar-19
3/13/2019,2810.92,25702.89,March 13 2019,"Wednesday, 2019-03-13",13-Mar-19
3/14/2019,2808.48,25709.94,March 14 2019,"Thursday, 2019-03-14",14-Mar-19
3/15/2019,2822.48,25848.87,March 15 2019,"Friday, 2019-03-15",15-Mar-19
3/18/2019,2832.94,25914.1,March 18 2019,"Monday, 2019-03-18",18-Mar-19
3/19/2019,2832.57,25887.38,March 19 2019,"Tuesday, 2019-03-19",19-Mar-19
3/20/2019,2824.23,25745.67,March 20 2019,"Wednesday, 2019-03-20",20-Mar-19
3/21/2019,2854.88,25962.51,March 21 2019,"Thursday, 2019-03-21",21-Mar-19
3/22/2019,2800.71,25502.32,March 22 2019,"Friday, 2019-03-22",22-Mar-19
3/25/2019,2798.36,25516.83,March 25 2019,"Monday, 2019-03-25",25-Mar-19
3/26/2019,2818.46,25657.73,March 26 2019,"Tuesday, 2019-03-26",26-Mar-19
3/27/2019,2805.37,25625.59,March 27 2019,"Wednesday, 2019-03-27",27-Mar-19
3/28/2019,2815.44,25717.46,March 28 2019,"Thursday, 2019-03-28",28-Mar-19
3/29/2019,2834.4,25928.68,March 29 2019,"Friday, 2019-03-29",29-Mar-19
4/1/2019,2867.19,26258.42,April 01 2019,"Monday, 2019-04-01",1-Apr-19
4/2/2019,2867.24,26179.13,April 02 2019,"Tuesday, 2019-04-02",2-Apr-19
